idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-12.022476196289062,-10.511035919189453,-11.629098892211914,-10.088173866271973,-19.937061309814453,-19.276836395263672
2,-14.618249893188477,-11.787734985351562,-13.102354049682617,-11.004247665405273,-19.960987091064453,-19.408161163330078
3,-12.022476196289062,-10.511035919189453,-15.296918869018555,-15.385159492492676,-19.937061309814453,-20.122520446777344
4,-14.618249893188477,-11.787734985351562,-15.506367683410645,-13.934586524963379,-19.960987091064453,-20.482959747314453
5,-12.022476196289062,-10.511035919189453,-13.739368438720703,-13.669746398925781,-19.937061309814453,-19.37697410583496
6,-14.618249893188477,-11.787734985351562,-14.29313850402832,-12.308710098266602,-19.960987091064453,-19.407629013061523
7,-12.022476196289062,-10.511035919189453,-13.769647598266602,-13.92611026763916,-19.937061309814453,-19.598846435546875
8,-14.618249893188477,-11.787734985351562,-15.091835021972656,-13.080944061279297,-19.960987091064453,-19.8781681060791
9,-16.493053436279297,-15.845636367797852,-11.629098892211914,-10.088173866271973,-21.350242614746094,-19.276836395263672
10,-16.931678771972656,-14.490938186645508,-13.102354049682617,-11.004247665405273,-21.99213981628418,-19.408161163330078
11,-16.493053436279297,-15.845636367797852,-15.296918869018555,-15.385159492492676,-21.350242614746094,-20.122520446777344
12,-16.931678771972656,-14.490938186645508,-15.506367683410645,-13.934586524963379,-21.99213981628418,-20.482959747314453
13,-16.493053436279297,-15.845636367797852,-13.739368438720703,-13.669746398925781,-21.350242614746094,-19.37697410583496
14,-16.931678771972656,-14.490938186645508,-14.29313850402832,-12.308710098266602,-21.99213981628418,-19.407629013061523
15,-16.493053436279297,-15.845636367797852,-13.769647598266602,-13.92611026763916,-21.350242614746094,-19.598846435546875
16,-16.931678771972656,-14.490938186645508,-15.091835021972656,-13.080944061279297,-21.99213981628418,-19.8781681060791
17,-17.388416290283203,-17.715883255004883,-11.629098892211914,-10.088173866271973,-21.36246109008789,-19.276836395263672
18,-18.649999618530273,-17.190937042236328,-13.102354049682617,-11.004247665405273,-22.126672744750977,-19.408161163330078
19,-17.388416290283203,-17.715883255004883,-15.296918869018555,-15.385159492492676,-21.36246109008789,-20.122520446777344
20,-18.649999618530273,-17.190937042236328,-15.506367683410645,-13.934586524963379,-22.126672744750977,-20.482959747314453
21,-17.388416290283203,-17.715883255004883,-13.739368438720703,-13.669746398925781,-21.36246109008789,-19.37697410583496
22,-18.649999618530273,-17.190937042236328,-14.29313850402832,-12.308710098266602,-22.126672744750977,-19.407629013061523
23,-17.388416290283203,-17.715883255004883,-13.769647598266602,-13.92611026763916,-21.36246109008789,-19.598846435546875
24,-18.649999618530273,-17.190937042236328,-15.091835021972656,-13.080944061279297,-22.126672744750977,-19.8781681060791
25,-17.165142059326172,-16.7799072265625,-11.629098892211914,-10.088173866271973,-19.52785873413086,-19.276836395263672
26,-17.413984298706055,-15.448473930358887,-13.102354049682617,-11.004247665405273,-20.2825870513916,-19.408161163330078
27,-17.165142059326172,-16.7799072265625,-15.296918869018555,-15.385159492492676,-19.52785873413086,-20.122520446777344
28,-17.413984298706055,-15.448473930358887,-15.506367683410645,-13.934586524963379,-20.2825870513916,-20.482959747314453
29,-17.165142059326172,-16.7799072265625,-13.739368438720703,-13.669746398925781,-19.52785873413086,-19.37697410583496
