idx,item,type,logprob
0,0,neg_main_good,-1.7888171672821045
0,0,neg_main_bad,-2.583954334259033
0,0,neg_arc_good,-2.954453468322754
0,0,neg_arc_bad,-2.4276442527770996
1,0,neg_main_good,-2.2529354095458984
1,0,neg_main_bad,-2.7948403358459473
1,0,neg_arc_good,-3.774799108505249
1,0,neg_arc_bad,-3.2638750076293945
2,1,neg_main_good,-1.5634387731552124
2,1,neg_main_bad,-2.639145851135254
2,1,neg_arc_good,-3.154897689819336
2,1,neg_arc_bad,-2.4706242084503174
3,1,neg_main_good,-1.686715841293335
3,1,neg_main_bad,-2.5182130336761475
3,1,neg_arc_good,-3.1373143196105957
3,1,neg_arc_bad,-2.3675615787506104
4,2,neg_main_good,-1.6259115934371948
4,2,neg_main_bad,-2.527898073196411
4,2,neg_arc_good,-3.000824451446533
4,2,neg_arc_bad,-2.3991854190826416
5,2,neg_main_good,-1.7403485774993896
5,2,neg_main_bad,-2.5456297397613525
5,2,neg_arc_good,-2.6549739837646484
5,2,neg_arc_bad,-1.8218809366226196
6,3,neg_main_good,-1.5821784734725952
6,3,neg_main_bad,-2.4525372982025146
6,3,neg_arc_good,-3.3497984409332275
6,3,neg_arc_bad,-2.5407252311706543
7,3,neg_main_good,-1.9539580345153809
7,3,neg_main_bad,-2.8930153846740723
7,3,neg_arc_good,-3.1623587608337402
7,3,neg_arc_bad,-2.2108705043792725
8,4,neg_main_good,-2.359245777130127
8,4,neg_main_bad,-3.1403727531433105
8,4,neg_arc_good,-3.795462131500244
8,4,neg_arc_bad,-3.2961833477020264
9,4,neg_main_good,-2.489893913269043
9,4,neg_main_bad,-3.290839910507202
9,4,neg_arc_good,-3.9416909217834473
9,4,neg_arc_bad,-3.184929132461548
10,5,neg_main_good,-2.6543965339660645
10,5,neg_main_bad,-3.4705729484558105
10,5,neg_arc_good,-3.8537070751190186
10,5,neg_arc_bad,-3.489954948425293
11,5,neg_main_good,-2.8213160037994385
11,5,neg_main_bad,-3.3928751945495605
11,5,neg_arc_good,-3.760916233062744
11,5,neg_arc_bad,-3.255492925643921
12,6,neg_main_good,-1.8792273998260498
12,6,neg_main_bad,-2.7981362342834473
12,6,neg_arc_good,-2.9414262771606445
12,6,neg_arc_bad,-2.29500150680542
13,6,neg_main_good,-2.0436596870422363
13,6,neg_main_bad,-2.564858913421631
13,6,neg_arc_good,-3.3902039527893066
13,6,neg_arc_bad,-2.9083070755004883
14,7,neg_main_good,-1.6674935817718506
14,7,neg_main_bad,-2.476449966430664
14,7,neg_arc_good,-3.0787546634674072
14,7,neg_arc_bad,-2.4133222103118896
15,7,neg_main_good,-1.8429145812988281
15,7,neg_main_bad,-2.7329347133636475
15,7,neg_arc_good,-3.778353214263916
15,7,neg_arc_bad,-2.9176342487335205
16,8,neg_main_good,-1.619706630706787
16,8,neg_main_bad,-2.554457664489746
16,8,neg_arc_good,-3.129702091217041
16,8,neg_arc_bad,-2.353605270385742
17,8,neg_main_good,-1.8919328451156616
17,8,neg_main_bad,-2.7235913276672363
17,8,neg_arc_good,-3.1698601245880127
17,8,neg_arc_bad,-2.406482696533203
18,9,neg_main_good,-1.9370851516723633
18,9,neg_main_bad,-2.761956214904785
18,9,neg_arc_good,-3.3333730697631836
18,9,neg_arc_bad,-3.054978847503662
19,9,neg_main_good,-2.352295398712158
19,9,neg_main_bad,-2.8518481254577637
19,9,neg_arc_good,-4.011833190917969
19,9,neg_arc_bad,-3.4709930419921875
20,10,neg_main_good,-2.689455986022949
20,10,neg_main_bad,-3.549264907836914
20,10,neg_arc_good,-3.498965263366699
20,10,neg_arc_bad,-2.8619699478149414
21,10,neg_main_good,-2.2946255207061768
21,10,neg_main_bad,-2.8471875190734863
21,10,neg_arc_good,-4.077695369720459
21,10,neg_arc_bad,-3.3142166137695312
22,11,neg_main_good,-1.74393630027771
22,11,neg_main_bad,-2.3901171684265137
22,11,neg_arc_good,-2.391294002532959
22,11,neg_arc_bad,-1.8369898796081543
23,11,neg_main_good,-1.677183985710144
23,11,neg_main_bad,-2.430558681488037
23,11,neg_arc_good,-3.1335153579711914
23,11,neg_arc_bad,-2.3874964714050293
24,12,neg_main_good,-1.7519632577896118
24,12,neg_main_bad,-2.59912371635437
24,12,neg_arc_good,-2.757509231567383
24,12,neg_arc_bad,-1.9745533466339111
25,12,neg_main_good,-1.7451770305633545
25,12,neg_main_bad,-2.4878692626953125
25,12,neg_arc_good,-3.5702972412109375
25,12,neg_arc_bad,-2.984515428543091
26,13,neg_main_good,-1.9765774011611938
26,13,neg_main_bad,-2.805581569671631
26,13,neg_arc_good,-2.9991064071655273
26,13,neg_arc_bad,-2.288386821746826
27,13,neg_main_good,-1.8147966861724854
27,13,neg_main_bad,-2.4824819564819336
27,13,neg_arc_good,-3.4243102073669434
27,13,neg_arc_bad,-2.9026169776916504
28,14,neg_main_good,-2.5735015869140625
28,14,neg_main_bad,-3.413377523422241
28,14,neg_arc_good,-3.4466552734375
28,14,neg_arc_bad,-2.885619640350342
29,14,neg_main_good,-2.4021599292755127
29,14,neg_main_bad,-3.051041603088379
29,14,neg_arc_good,-4.094070911407471
29,14,neg_arc_bad,-3.4321045875549316
30,15,neg_main_good,-1.858246088027954
30,15,neg_main_bad,-2.8290395736694336
30,15,neg_arc_good,-2.8019025325775146
30,15,neg_arc_bad,-2.0885157585144043
31,15,neg_main_good,-1.4048833847045898
31,15,neg_main_bad,-2.1579976081848145
31,15,neg_arc_good,-3.3568027019500732
31,15,neg_arc_bad,-2.645599365234375
32,16,neg_main_good,-1.9781641960144043
32,16,neg_main_bad,-2.6945972442626953
32,16,neg_arc_good,-2.8548028469085693
32,16,neg_arc_bad,-2.3340322971343994
33,16,neg_main_good,-1.741429328918457
33,16,neg_main_bad,-2.383993148803711
33,16,neg_arc_good,-3.409938335418701
33,16,neg_arc_bad,-2.922632932662964
34,17,neg_main_good,-2.4682815074920654
34,17,neg_main_bad,-3.4603466987609863
34,17,neg_arc_good,-3.2001330852508545
34,17,neg_arc_bad,-2.5345640182495117
35,17,neg_main_good,-2.1790785789489746
35,17,neg_main_bad,-2.8867039680480957
35,17,neg_arc_good,-3.517801523208618
35,17,neg_arc_bad,-3.1142711639404297
36,18,neg_main_good,-2.4813404083251953
36,18,neg_main_bad,-3.172159194946289
36,18,neg_arc_good,-3.289550304412842
36,18,neg_arc_bad,-2.9309754371643066
37,18,neg_main_good,-1.8734700679779053
37,18,neg_main_bad,-2.6182470321655273
37,18,neg_arc_good,-3.531214714050293
37,18,neg_arc_bad,-2.5930449962615967
38,19,neg_main_good,-2.030405044555664
38,19,neg_main_bad,-2.9480743408203125
38,19,neg_arc_good,-2.9679174423217773
38,19,neg_arc_bad,-2.2412195205688477
39,19,neg_main_good,-1.738520860671997
39,19,neg_main_bad,-2.4949185848236084
39,19,neg_arc_good,-3.2053046226501465
39,19,neg_arc_bad,-2.4751110076904297
40,20,neg_main_good,-1.7065515518188477
40,20,neg_main_bad,-2.588132858276367
40,20,neg_arc_good,-3.409330368041992
40,20,neg_arc_bad,-2.8298633098602295
41,20,neg_main_good,-1.9411510229110718
41,20,neg_main_bad,-2.765392780303955
41,20,neg_arc_good,-3.4637813568115234
41,20,neg_arc_bad,-3.0195393562316895
42,21,neg_main_good,-1.1916823387145996
42,21,neg_main_bad,-1.8756965398788452
42,21,neg_arc_good,-2.8822953701019287
42,21,neg_arc_bad,-2.485417127609253
43,21,neg_main_good,-1.6564732789993286
43,21,neg_main_bad,-2.355647087097168
43,21,neg_arc_good,-2.602902889251709
43,21,neg_arc_bad,-1.946656584739685
44,22,neg_main_good,-1.9702937602996826
44,22,neg_main_bad,-2.8300669193267822
44,22,neg_arc_good,-3.6529901027679443
44,22,neg_arc_bad,-3.202975034713745
45,22,neg_main_good,-2.417567253112793
45,22,neg_main_bad,-3.0080626010894775
45,22,neg_arc_good,-4.090447425842285
45,22,neg_arc_bad,-3.5196049213409424
46,23,neg_main_good,-1.4800803661346436
46,23,neg_main_bad,-2.1734087467193604
46,23,neg_arc_good,-3.1085267066955566
46,23,neg_arc_bad,-2.7393927574157715
47,23,neg_main_good,-1.660516381263733
47,23,neg_main_bad,-2.3187201023101807
47,23,neg_arc_good,-3.2982285022735596
47,23,neg_arc_bad,-2.9648025035858154
48,24,neg_main_good,-1.5657038688659668
48,24,neg_main_bad,-2.3556699752807617
48,24,neg_arc_good,-2.8191235065460205
48,24,neg_arc_bad,-2.203660249710083
49,24,neg_main_good,-1.9310057163238525
49,24,neg_main_bad,-2.599855899810791
49,24,neg_arc_good,-3.2746784687042236
49,24,neg_arc_bad,-2.755671977996826
50,25,neg_main_good,-2.2779552936553955
50,25,neg_main_bad,-3.003580093383789
50,25,neg_arc_good,-3.5654120445251465
50,25,neg_arc_bad,-3.2126519680023193
51,25,neg_main_good,-2.00846266746521
51,25,neg_main_bad,-2.6479740142822266
51,25,neg_arc_good,-3.658167839050293
51,25,neg_arc_bad,-3.059238910675049
52,26,neg_main_good,-2.518871307373047
52,26,neg_main_bad,-3.279768466949463
52,26,neg_arc_good,-4.174437999725342
52,26,neg_arc_bad,-3.9626293182373047
53,26,neg_main_good,-2.6611669063568115
53,26,neg_main_bad,-3.387821674346924
53,26,neg_arc_good,-4.061698913574219
53,26,neg_arc_bad,-3.414659023284912
54,27,neg_main_good,-1.4282162189483643
54,27,neg_main_bad,-2.198837995529175
54,27,neg_arc_good,-3.0667333602905273
54,27,neg_arc_bad,-2.624861240386963
55,27,neg_main_good,-1.5276882648468018
55,27,neg_main_bad,-2.4361367225646973
55,27,neg_arc_good,-3.390181303024292
55,27,neg_arc_bad,-2.6751551628112793
56,28,neg_main_good,-2.114635467529297
56,28,neg_main_bad,-2.889558792114258
56,28,neg_arc_good,-3.6155412197113037
56,28,neg_arc_bad,-3.1419644355773926
57,28,neg_main_good,-1.718177080154419
57,28,neg_main_bad,-2.4840540885925293
57,28,neg_arc_good,-3.403444766998291
57,28,neg_arc_bad,-2.831738233566284
58,29,neg_main_good,-2.0413732528686523
58,29,neg_main_bad,-2.841954231262207
