idx,item,type,logprob
0,0,neg_main_good,-2.0087485313415527
0,0,neg_main_bad,-2.646202564239502
0,0,neg_arc_good,-2.408637046813965
0,0,neg_arc_bad,-2.2664709091186523
1,0,neg_main_good,-1.6988788843154907
1,0,neg_main_bad,-2.1131491661071777
1,0,neg_arc_good,-2.912890911102295
1,0,neg_arc_bad,-2.3478033542633057
2,1,neg_main_good,-1.5365521907806396
2,1,neg_main_bad,-2.225600481033325
2,1,neg_arc_good,-2.5251810550689697
2,1,neg_arc_bad,-2.0818533897399902
3,1,neg_main_good,-1.5446577072143555
3,1,neg_main_bad,-2.079256296157837
3,1,neg_arc_good,-2.4795329570770264
3,1,neg_arc_bad,-1.8822109699249268
4,2,neg_main_good,-1.4246433973312378
4,2,neg_main_bad,-2.121647357940674
4,2,neg_arc_good,-2.565904378890991
4,2,neg_arc_bad,-2.084744691848755
5,2,neg_main_good,-1.4277567863464355
5,2,neg_main_bad,-2.0670199394226074
5,2,neg_arc_good,-2.0039255619049072
5,2,neg_arc_bad,-1.2958768606185913
6,3,neg_main_good,-1.8895727396011353
6,3,neg_main_bad,-2.3058831691741943
6,3,neg_arc_good,-2.8082094192504883
6,3,neg_arc_bad,-2.5491766929626465
7,3,neg_main_good,-1.951706886291504
7,3,neg_main_bad,-2.274322032928467
7,3,neg_arc_good,-2.7035655975341797
7,3,neg_arc_bad,-2.265599250793457
8,4,neg_main_good,-2.060356855392456
8,4,neg_main_bad,-2.518901824951172
8,4,neg_arc_good,-2.921696901321411
8,4,neg_arc_bad,-2.692101240158081
9,4,neg_main_good,-2.1601357460021973
9,4,neg_main_bad,-2.5722551345825195
9,4,neg_arc_good,-3.1302402019500732
9,4,neg_arc_bad,-2.710824966430664
10,5,neg_main_good,-2.5931992530822754
10,5,neg_main_bad,-3.1492197513580322
10,5,neg_arc_good,-3.3629467487335205
10,5,neg_arc_bad,-3.04878568649292
11,5,neg_main_good,-2.3831281661987305
11,5,neg_main_bad,-2.815929651260376
11,5,neg_arc_good,-3.339832067489624
11,5,neg_arc_bad,-2.7169883251190186
12,6,neg_main_good,-1.4832980632781982
12,6,neg_main_bad,-2.238079309463501
12,6,neg_arc_good,-2.049349308013916
12,6,neg_arc_bad,-1.5489295721054077
13,6,neg_main_good,-1.4322696924209595
13,6,neg_main_bad,-1.906019926071167
13,6,neg_arc_good,-2.992532968521118
13,6,neg_arc_bad,-2.6808454990386963
14,7,neg_main_good,-1.402472734451294
14,7,neg_main_bad,-1.9500685930252075
14,7,neg_arc_good,-2.2716305255889893
14,7,neg_arc_bad,-1.9423809051513672
15,7,neg_main_good,-1.685117244720459
15,7,neg_main_bad,-2.102632522583008
15,7,neg_arc_good,-2.748767852783203
15,7,neg_arc_bad,-2.4431471824645996
16,8,neg_main_good,-1.1101702451705933
16,8,neg_main_bad,-1.9012119770050049
16,8,neg_arc_good,-2.0983080863952637
16,8,neg_arc_bad,-1.3112728595733643
17,8,neg_main_good,-1.2092313766479492
17,8,neg_main_bad,-1.8420593738555908
17,8,neg_arc_good,-2.3327555656433105
17,8,neg_arc_bad,-1.7784591913223267
18,9,neg_main_good,-2.09183406829834
18,9,neg_main_bad,-2.5961897373199463
18,9,neg_arc_good,-2.732626438140869
18,9,neg_arc_bad,-2.5586347579956055
19,9,neg_main_good,-1.775170087814331
19,9,neg_main_bad,-2.3004863262176514
19,9,neg_arc_good,-2.980405330657959
19,9,neg_arc_bad,-2.4216537475585938
20,10,neg_main_good,-2.141680955886841
20,10,neg_main_bad,-2.919696092605591
20,10,neg_arc_good,-2.834176540374756
20,10,neg_arc_bad,-2.3989763259887695
21,10,neg_main_good,-2.0904088020324707
