idx,item,type,logprob
0,0,neg_main_good,-2.063396692276001
0,0,neg_main_bad,-2.8958349227905273
0,0,neg_arc_good,-2.7754502296447754
0,0,neg_arc_bad,-2.47097110748291
1,0,neg_main_good,-1.9782042503356934
1,0,neg_main_bad,-2.4835939407348633
1,0,neg_arc_good,-3.281043529510498
1,0,neg_arc_bad,-2.715855836868286
2,1,neg_main_good,-1.5915926694869995
2,1,neg_main_bad,-2.488109827041626
2,1,neg_arc_good,-2.8318097591400146
2,1,neg_arc_bad,-2.2115068435668945
3,1,neg_main_good,-1.6420817375183105
3,1,neg_main_bad,-2.2648894786834717
3,1,neg_arc_good,-3.1729509830474854
3,1,neg_arc_bad,-2.2404353618621826
4,2,neg_main_good,-1.6330827474594116
4,2,neg_main_bad,-2.3047170639038086
4,2,neg_arc_good,-2.6083953380584717
4,2,neg_arc_bad,-2.131474018096924
5,2,neg_main_good,-1.6127426624298096
5,2,neg_main_bad,-2.1504297256469727
5,2,neg_arc_good,-2.49190616607666
5,2,neg_arc_bad,-1.9179291725158691
6,3,neg_main_good,-1.668516755104065
6,3,neg_main_bad,-2.6040525436401367
6,3,neg_arc_good,-3.1833760738372803
6,3,neg_arc_bad,-2.4557204246520996
7,3,neg_main_good,-2.1058976650238037
7,3,neg_main_bad,-2.817162036895752
7,3,neg_arc_good,-3.043912649154663
7,3,neg_arc_bad,-2.255528450012207
8,4,neg_main_good,-2.518315315246582
8,4,neg_main_bad,-3.0054848194122314
8,4,neg_arc_good,-3.744457721710205
8,4,neg_arc_bad,-3.5279295444488525
9,4,neg_main_good,-2.4555447101593018
9,4,neg_main_bad,-2.934703826904297
9,4,neg_arc_good,-3.412370204925537
9,4,neg_arc_bad,-3.2106094360351562
10,5,neg_main_good,-2.554384231567383
10,5,neg_main_bad,-3.025087356567383
10,5,neg_arc_good,-3.3768815994262695
10,5,neg_arc_bad,-3.127901315689087
11,5,neg_main_good,-2.4282314777374268
11,5,neg_main_bad,-2.9932808876037598
11,5,neg_arc_good,-3.2284140586853027
11,5,neg_arc_bad,-2.7344212532043457
12,6,neg_main_good,-1.7729493379592896
12,6,neg_main_bad,-2.641730546951294
12,6,neg_arc_good,-2.6961469650268555
12,6,neg_arc_bad,-2.1458146572113037
13,6,neg_main_good,-1.8144420385360718
13,6,neg_main_bad,-2.537545680999756
13,6,neg_arc_good,-3.2408242225646973
13,6,neg_arc_bad,-2.6023759841918945
14,7,neg_main_good,-1.5205061435699463
14,7,neg_main_bad,-2.346129894256592
14,7,neg_arc_good,-2.79309344291687
14,7,neg_arc_bad,-2.2580716609954834
15,7,neg_main_good,-1.8243545293807983
15,7,neg_main_bad,-2.4416391849517822
15,7,neg_arc_good,-3.145961284637451
15,7,neg_arc_bad,-2.4188711643218994
16,8,neg_main_good,-1.6261258125305176
16,8,neg_main_bad,-2.351912021636963
16,8,neg_arc_good,-2.6676242351531982
16,8,neg_arc_bad,-2.054595947265625
17,8,neg_main_good,-1.805389642715454
17,8,neg_main_bad,-2.5034587383270264
17,8,neg_arc_good,-2.9421310424804688
17,8,neg_arc_bad,-2.392961025238037
18,9,neg_main_good,-2.1293280124664307
18,9,neg_main_bad,-2.5151147842407227
18,9,neg_arc_good,-2.871032953262329
18,9,neg_arc_bad,-2.6461572647094727
19,9,neg_main_good,-1.8266359567642212
19,9,neg_main_bad,-2.432783603668213
19,9,neg_arc_good,-3.2259931564331055
19,9,neg_arc_bad,-2.700350284576416
20,10,neg_main_good,-2.6252012252807617
20,10,neg_main_bad,-3.7001359462738037
20,10,neg_arc_good,-3.4285316467285156
