idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_c1,no_c2,wait_c1,wait_c2
18,-5.517018795013428,-4.5908122062683105,-7.347711563110352,-5.945558547973633,-2.665959358215332,-2.586867332458496,-4.149819374084473,-4.16688346862793
19,-7.4961442947387695,-7.632000923156738,-4.572327136993408,-5.2616868019104,-3.316429376602173,-3.3669347763061523,-3.353454113006592,-3.588060140609741
20,-7.379631042480469,-5.834458351135254,-5.125386714935303,-4.191270351409912,-3.3669347763061523,-3.316429376602173,-3.588060140609741,-3.353454113006592
21,-7.4961442947387695,-7.632000923156738,-10.149277687072754,-10.302155494689941,-3.316429376602173,-3.3669347763061523,-4.035037994384766,-4.424878120422363
22,-7.379631042480469,-5.834458351135254,-9.80969524383545,-8.670970916748047,-3.3669347763061523,-3.316429376602173,-4.424878120422363,-4.035037994384766
23,-7.4961442947387695,-7.632000923156738,-9.719430923461914,-9.564743041992188,-3.316429376602173,-3.3669347763061523,-4.251908302307129,-4.276675224304199
24,-7.379631042480469,-5.834458351135254,-8.835197448730469,-8.262680053710938,-3.3669347763061523,-3.316429376602173,-4.276675224304199,-4.251908302307129
25,-10.218732833862305,-10.412158966064453,-4.572327136993408,-5.2616868019104,-3.655965805053711,-3.886687755584717,-3.353454113006592,-3.588060140609741
26,-9.737110137939453,-9.557038307189941,-5.125386714935303,-4.191270351409912,-3.886687755584717,-3.655965805053711,-3.588060140609741,-3.353454113006592
27,-10.218732833862305,-10.412158966064453,-10.149277687072754,-10.302155494689941,-3.655965805053711,-3.886687755584717,-4.035037994384766,-4.424878120422363
28,-9.737110137939453,-9.557038307189941,-9.80969524383545,-8.670970916748047,-3.886687755584717,-3.655965805053711,-4.424878120422363,-4.035037994384766
29,-10.218732833862305,-10.412158966064453,-9.719430923461914,-9.564743041992188,-3.655965805053711,-3.886687755584717,-4.251908302307129,-4.276675224304199
30,-9.737110137939453,-9.557038307189941,-8.835197448730469,-8.262680053710938,-3.886687755584717,-3.655965805053711,-4.276675224304199,-4.251908302307129
31,-7.074712753295898,-7.4823102951049805,-4.572327136993408,-5.2616868019104,-2.8101425170898438,-2.910430431365967,-3.353454113006592,-3.588060140609741
32,-7.837978363037109,-6.697414875030518,-5.125386714935303,-4.191270351409912,-2.910430431365967,-2.8101425170898438,-3.588060140609741,-3.353454113006592
33,-7.074712753295898,-7.4823102951049805,-10.149277687072754,-10.302155494689941,-2.8101425170898438,-2.910430431365967,-4.035037994384766,-4.424878120422363
34,-7.837978363037109,-6.697414875030518,-9.80969524383545,-8.670970916748047,-2.910430431365967,-2.8101425170898438,-4.424878120422363,-4.035037994384766
35,-7.074712753295898,-7.4823102951049805,-9.719430923461914,-9.564743041992188,-2.8101425170898438,-2.910430431365967,-4.251908302307129,-4.276675224304199
36,-7.837978363037109,-6.697414875030518,-8.835197448730469,-8.262680053710938,-2.910430431365967,-2.8101425170898438,-4.276675224304199,-4.251908302307129
37,-4.807779312133789,-4.923182010650635,-4.484971046447754,-4.90135383605957,-3.518221855163574,-3.642920732498169,-2.9246654510498047,-3.0696446895599365
38,-6.362723350524902,-5.1816911697387695,-5.33763313293457,-4.641499996185303,-3.642920732498169,-3.518221855163574,-3.0696446895599365,-2.9246654510498047
39,-4.807779312133789,-4.923182010650635,-9.112255096435547,-8.931181907653809,-3.518221855163574,-3.642920732498169,-3.7241716384887695,-3.9862327575683594
40,-6.362723350524902,-5.1816911697387695,-10.070991516113281,-9.05691909790039,-3.642920732498169,-3.518221855163574,-3.9862327575683594,-3.7241716384887695
41,-4.807779312133789,-4.923182010650635,-8.952486991882324,-8.567229270935059,-3.518221855163574,-3.642920732498169,-4.16688346862793,-4.149819374084473
42,-6.362723350524902,-5.1816911697387695,-9.482524871826172,-9.247383117675781,-3.642920732498169,-3.518221855163574,-4.149819374084473,-4.16688346862793
43,-6.783034801483154,-6.700112342834473,-4.484971046447754,-4.90135383605957,-3.068690299987793,-3.3437111377716064,-2.9246654510498047,-3.0696446895599365
44,-7.538469314575195,-8.57886791229248,-5.33763313293457,-4.641499996185303,-3.3437111377716064,-3.068690299987793,-3.0696446895599365,-2.9246654510498047
45,-6.783034801483154,-6.700112342834473,-9.112255096435547,-8.931181907653809,-3.068690299987793,-3.3437111377716064,-3.7241716384887695,-3.9862327575683594
46,-7.538469314575195,-8.57886791229248,-10.070991516113281,-9.05691909790039,-3.3437111377716064,-3.068690299987793,-3.9862327575683594,-3.7241716384887695
47,-6.783034801483154,-6.700112342834473,-8.952486991882324,-8.567229270935059,-3.068690299987793,-3.3437111377716064,-4.16688346862793,-4.149819374084473
48,-7.538469314575195,-8.57886791229248,-9.482524871826172,-9.247383117675781,-3.3437111377716064,-3.068690299987793,-4.149819374084473,-4.16688346862793
49,-4.951883316040039,-5.489614009857178,-4.484971046447754,-4.90135383605957,-2.586867332458496,-2.665959358215332,-2.9246654510498047,-3.0696446895599365
50,-5.507531642913818,-5.039261341094971,-5.33763313293457,-4.641499996185303,-2.665959358215332,-2.586867332458496,-3.0696446895599365,-2.9246654510498047
51,-4.951883316040039,-5.489614009857178,-9.112255096435547,-8.931181907653809,-2.586867332458496,-2.665959358215332,-3.7241716384887695,-3.9862327575683594
52,-5.507531642913818,-5.039261341094971,-10.070991516113281,-9.05691909790039,-2.665959358215332,-2.586867332458496,-3.9862327575683594,-3.7241716384887695
53,-4.951883316040039,-5.489614009857178,-8.952486991882324,-8.567229270935059,-2.586867332458496,-2.665959358215332,-4.16688346862793,-4.149819374084473
54,-5.507531642913818,-5.039261341094971,-9.482524871826172,-9.247383117675781,-2.665959358215332,-2.586867332458496,-4.149819374084473,-4.16688346862793
55,-6.459566116333008,-4.626469612121582,-5.155851364135742,-4.815652370452881,-3.316429376602173,-3.3669347763061523,-3.353454113006592,-3.588060140609741
56,-5.399548530578613,-5.676891326904297,-5.643556594848633,-4.611631393432617,-3.3669347763061523,-3.316429376602173,-3.588060140609741,-3.353454113006592
57,-6.459566116333008,-4.626469612121582,-9.358379364013672,-9.002735137939453,-3.316429376602173,-3.3669347763061523,-4.035037994384766,-4.424878120422363
58,-5.399548530578613,-5.676891326904297,-9.18732738494873,-8.198873519897461,-3.3669347763061523,-3.316429376602173,-4.424878120422363,-4.035037994384766
59,-6.459566116333008,-4.626469612121582,-8.129387855529785,-8.090058326721191,-3.316429376602173,-3.3669347763061523,-4.251908302307129,-4.276675224304199
60,-5.399548530578613,-5.676891326904297,-8.990396499633789,-8.042238235473633,-3.3669347763061523,-3.316429376602173,-4.276675224304199,-4.251908302307129
61,-8.909869194030762,-7.969080924987793,-5.155851364135742,-4.815652370452881,-3.655965805053711,-3.886687755584717,-3.353454113006592,-3.588060140609741
62,-8.249643325805664,-8.029726028442383,-5.643556594848633,-4.611631393432617,-3.886687755584717,-3.655965805053711,-3.588060140609741,-3.353454113006592
63,-8.909869194030762,-7.969080924987793,-9.358379364013672,-9.002735137939453,-3.655965805053711,-3.886687755584717,-4.035037994384766,-4.424878120422363
64,-8.249643325805664,-8.029726028442383,-9.18732738494873,-8.198873519897461,-3.886687755584717,-3.655965805053711,-4.424878120422363,-4.035037994384766
65,-8.90986442565918,-7.969077110290527,-8.129387855529785,-8.090058326721191,-3.655965805053711,-3.886687755584717,-4.251908302307129,-4.276675224304199
66,-8.249639511108398,-8.029743194580078,-8.990396499633789,-8.042238235473633,-3.886687755584717,-3.655965805053711,-4.276675224304199,-4.251908302307129
67,-6.78654146194458,-5.767446517944336,-5.155851364135742,-4.815652370452881,-2.8101425170898438,-2.910430431365967,-3.353454113006592,-3.588060140609741
68,-5.959201812744141,-5.501924514770508,-5.643556594848633,-4.611631393432617,-2.910430431365967,-2.8101425170898438,-3.588060140609741,-3.353454113006592
69,-6.78654146194458,-5.767446517944336,-9.358379364013672,-9.002735137939453,-2.8101425170898438,-2.910430431365967,-4.035037994384766,-4.424878120422363
70,-5.959201812744141,-5.501924514770508,-9.18732738494873,-8.198873519897461,-2.910430431365967,-2.8101425170898438,-4.424878120422363,-4.035037994384766
71,-6.78654146194458,-5.767446517944336,-8.129387855529785,-8.090058326721191,-2.8101425170898438,-2.910430431365967,-4.251908302307129,-4.276675224304199
72,-5.959201812744141,-5.501924514770508,-8.990396499633789,-8.042238235473633,-2.910430431365967,-2.8101425170898438,-4.276675224304199,-4.251908302307129
73,-8.444637298583984,-7.56122350692749,-6.632584571838379,-6.102046966552734,-3.316429376602173,-3.3669347763061523,-3.353454113006592,-3.588060140609741
74,-9.57429027557373,-7.695476055145264,-6.8807783126831055,-5.503471374511719,-3.3669347763061523,-3.316429376602173,-3.588060140609741,-3.353454113006592
75,-8.444637298583984,-7.56122350692749,-9.081683158874512,-9.275544166564941,-3.316429376602173,-3.3669347763061523,-4.035037994384766,-4.424878120422363
76,-9.57429027557373,-7.695476055145264,-10.621500015258789,-9.27499771118164,-3.3669347763061523,-3.316429376602173,-4.424878120422363,-4.035037994384766
77,-8.444637298583984,-7.56122350692749,-7.965039253234863,-8.616676330566406,-3.316429376602173,-3.3669347763061523,-4.251908302307129,-4.276675224304199
78,-9.57429027557373,-7.695476055145264,-9.593997955322266,-8.33200740814209,-3.3669347763061523,-3.316429376602173,-4.276675224304199,-4.251908302307129
79,-11.37417221069336,-9.886152267456055,-6.632584571838379,-6.102046966552734,-3.655965805053711,-3.886687755584717,-3.353454113006592,-3.588060140609741
80,-10.677340507507324,-10.789448738098145,-6.8807783126831055,-5.503471374511719,-3.886687755584717,-3.655965805053711,-3.588060140609741,-3.353454113006592
81,-11.37417221069336,-9.886152267456055,-9.081683158874512,-9.275544166564941,-3.655965805053711,-3.886687755584717,-4.035037994384766,-4.424878120422363
82,-10.677340507507324,-10.789448738098145,-10.621500015258789,-9.27499771118164,-3.886687755584717,-3.655965805053711,-4.424878120422363,-4.035037994384766
83,-11.37417221069336,-9.886152267456055,-7.965039253234863,-8.616676330566406,-3.655965805053711,-3.886687755584717,-4.251908302307129,-4.276675224304199
84,-10.677340507507324,-10.789448738098145,-9.593997955322266,-8.33200740814209,-3.886687755584717,-3.655965805053711,-4.276675224304199,-4.251908302307129
85,-8.821463584899902,-7.79318904876709,-6.632584571838379,-6.102046966552734,-2.8101425170898438,-2.910430431365967,-3.353454113006592,-3.588060140609741
86,-8.886212348937988,-7.766298294067383,-6.8807783126831055,-5.503471374511719,-2.910430431365967,-2.8101425170898438,-3.588060140609741,-3.353454113006592
87,-8.821463584899902,-7.79318904876709,-9.081683158874512,-9.275544166564941,-2.8101425170898438,-2.910430431365967,-4.035037994384766,-4.424878120422363
88,-8.886212348937988,-7.766298294067383,-10.621500015258789,-9.27499771118164,-2.910430431365967,-2.8101425170898438,-4.424878120422363,-4.035037994384766
89,-8.821463584899902,-7.79318904876709,-7.965039253234863,-8.616676330566406,-2.8101425170898438,-2.910430431365967,-4.251908302307129,-4.276675224304199
90,-8.886212348937988,-7.766298294067383,-9.593997955322266,-8.33200740814209,-2.910430431365967,-2.8101425170898438,-4.276675224304199,-4.251908302307129
91,-7.402007102966309,-6.507084369659424,-6.232686519622803,-6.164368629455566,-3.316429376602173,-3.3669347763061523,-3.353454113006592,-3.588060140609741
92,-5.618016719818115,-5.631388187408447,-6.560639381408691,-5.946171283721924,-3.3669347763061523,-3.316429376602173,-3.588060140609741,-3.353454113006592
93,-7.402007102966309,-6.507084369659424,-9.156991958618164,-9.737380981445312,-3.316429376602173,-3.3669347763061523,-4.035037994384766,-4.424878120422363
94,-5.618016719818115,-5.631388187408447,-10.061798095703125,-9.512069702148438,-3.3669347763061523,-3.316429376602173,-4.424878120422363,-4.035037994384766
95,-7.402007102966309,-6.507084369659424,-8.007469177246094,-8.72305679321289,-3.316429376602173,-3.3669347763061523,-4.251908302307129,-4.276675224304199
96,-5.618016719818115,-5.631388187408447,-9.37562084197998,-8.68905258178711,-3.3669347763061523,-3.316429376602173,-4.276675224304199,-4.251908302307129
97,-8.790787696838379,-8.755642890930176,-6.232686519622803,-6.164368629455566,-3.655965805053711,-3.886687755584717,-3.353454113006592,-3.588060140609741
98,-9.324045181274414,-9.500365257263184,-6.560639381408691,-5.946171283721924,-3.886687755584717,-3.655965805053711,-3.588060140609741,-3.353454113006592
99,-8.790787696838379,-8.755642890930176,-9.156991958618164,-9.737380981445312,-3.655965805053711,-3.886687755584717,-4.035037994384766,-4.424878120422363
100,-9.324045181274414,-9.500365257263184,-10.061798095703125,-9.512069702148438,-3.886687755584717,-3.655965805053711,-4.424878120422363,-4.035037994384766
101,-8.790787696838379,-8.755642890930176,-8.007469177246094,-8.72305679321289,-3.655965805053711,-3.886687755584717,-4.251908302307129,-4.276675224304199
102,-9.324045181274414,-9.500365257263184,-9.37562084197998,-8.68905258178711,-3.886687755584717,-3.655965805053711,-4.276675224304199,-4.251908302307129
103,-7.205560207366943,-6.69625186920166,-6.232686519622803,-6.164368629455566,-2.8101425170898438,-2.910430431365967,-3.353454113006592,-3.588060140609741
104,-6.280716896057129,-6.396449089050293,-6.560639381408691,-5.946171283721924,-2.910430431365967,-2.8101425170898438,-3.588060140609741,-3.353454113006592
105,-7.205560207366943,-6.69625186920166,-9.156991958618164,-9.737380981445312,-2.8101425170898438,-2.910430431365967,-4.035037994384766,-4.424878120422363
106,-6.280716896057129,-6.396449089050293,-10.061798095703125,-9.512069702148438,-2.910430431365967,-2.8101425170898438,-4.424878120422363,-4.035037994384766
107,-7.205560207366943,-6.69625186920166,-8.007469177246094,-8.72305679321289,-2.8101425170898438,-2.910430431365967,-4.251908302307129,-4.276675224304199
108,-6.280716896057129,-6.396449089050293,-9.37562084197998,-8.68905258178711,-2.910430431365967,-2.8101425170898438,-4.276675224304199,-4.251908302307129
109,-6.526440143585205,-6.267626762390137,-5.941483020782471,-5.795172691345215,-3.316429376602173,-3.3669347763061523,-3.353454113006592,-3.588060140609741
110,-6.369267463684082,-5.74097204208374,-6.2163801193237305,-5.359071731567383,-3.3669347763061523,-3.316429376602173,-3.588060140609741,-3.353454113006592
111,-6.526440143585205,-6.267626762390137,-8.380992889404297,-8.648969650268555,-3.316429376602173,-3.3669347763061523,-4.035037994384766,-4.424878120422363
112,-6.369267463684082,-5.74097204208374,-9.268009185791016,-7.476309776306152,-3.3669347763061523,-3.316429376602173,-4.424878120422363,-4.035037994384766
113,-6.526453971862793,-6.267632484436035,-8.152993202209473,-8.463591575622559,-3.316429376602173,-3.3669347763061523,-4.251908302307129,-4.276675224304199
114,-6.3692779541015625,-5.740967750549316,-8.725762367248535,-7.850773334503174,-3.3669347763061523,-3.316429376602173,-4.276675224304199,-4.251908302307129
115,-10.385805130004883,-9.614555358886719,-5.941484451293945,-5.795175552368164,-3.655965805053711,-3.886687755584717,-3.353454113006592,-3.588060140609741
116,-8.735687255859375,-8.807853698730469,-6.216378688812256,-5.359079837799072,-3.886687755584717,-3.655965805053711,-3.588060140609741,-3.353454113006592
117,-10.385805130004883,-9.614555358886719,-8.380987167358398,-8.648969650268555,-3.655965805053711,-3.886687755584717,-4.035037994384766,-4.424878120422363
118,-8.735687255859375,-8.807853698730469,-9.267996788024902,-7.476311683654785,-3.886687755584717,-3.655965805053711,-4.424878120422363,-4.035037994384766
