idx,cont_type,cont_target,avg_logprob,model_name
12,situational inference,arc,-3.406871128082275,EleutherAI_pythia-6.9b-deduped
12,situational inference,mc,-3.260945510864258,EleutherAI_pythia-6.9b-deduped
13,event association,arc,-3.4576133728027343,EleutherAI_pythia-6.9b-deduped
13,event association,mc,-3.5368887901306154,EleutherAI_pythia-6.9b-deduped
13,lexical overlap,arc,-3.1113218307495116,EleutherAI_pythia-6.9b-deduped
13,lexical overlap,mc,-3.637073850631714,EleutherAI_pythia-6.9b-deduped
13,situational inference,arc,-3.61686372756958,EleutherAI_pythia-6.9b-deduped
13,situational inference,mc,-3.4975101947784424,EleutherAI_pythia-6.9b-deduped
14,event association,arc,-3.706018257141113,EleutherAI_pythia-6.9b-deduped
14,event association,mc,-4.05453200340271,EleutherAI_pythia-6.9b-deduped
14,lexical overlap,arc,-3.5769911766052247,EleutherAI_pythia-6.9b-deduped
14,lexical overlap,mc,-3.6957401275634765,EleutherAI_pythia-6.9b-deduped
14,situational inference,arc,-3.7525383472442626,EleutherAI_pythia-6.9b-deduped
14,situational inference,mc,-4.007374811172485,EleutherAI_pythia-6.9b-deduped
15,event association,arc,-3.80199556350708,EleutherAI_pythia-6.9b-deduped
15,event association,mc,-4.0636392593383786,EleutherAI_pythia-6.9b-deduped
15,lexical overlap,arc,-3.824084520339966,EleutherAI_pythia-6.9b-deduped
15,lexical overlap,mc,-3.8449316024780273,EleutherAI_pythia-6.9b-deduped
15,situational inference,arc,-3.9900815963745115,EleutherAI_pythia-6.9b-deduped
15,situational inference,mc,-3.773417663574219,EleutherAI_pythia-6.9b-deduped
16,event association,arc,-3.73809609413147,EleutherAI_pythia-6.9b-deduped
16,event association,mc,-3.5801698684692385,EleutherAI_pythia-6.9b-deduped
16,lexical overlap,arc,-3.75836820602417,EleutherAI_pythia-6.9b-deduped
16,lexical overlap,mc,-3.637138557434082,EleutherAI_pythia-6.9b-deduped
16,situational inference,arc,-3.7694208145141603,EleutherAI_pythia-6.9b-deduped
16,situational inference,mc,-3.6509265899658203,EleutherAI_pythia-6.9b-deduped
17,event association,arc,-3.961154890060425,EleutherAI_pythia-6.9b-deduped
17,event association,mc,-4.0162547588348385,EleutherAI_pythia-6.9b-deduped
17,lexical overlap,arc,-3.7411163330078123,EleutherAI_pythia-6.9b-deduped
17,lexical overlap,mc,-3.729322814941406,EleutherAI_pythia-6.9b-deduped
17,situational inference,arc,-3.9326833724975585,EleutherAI_pythia-6.9b-deduped
17,situational inference,mc,-3.8763696193695067,EleutherAI_pythia-6.9b-deduped
18,event association,arc,-3.926627826690674,EleutherAI_pythia-6.9b-deduped
18,event association,mc,-3.7800549983978273,EleutherAI_pythia-6.9b-deduped
18,lexical overlap,arc,-3.803055191040039,EleutherAI_pythia-6.9b-deduped
18,lexical overlap,mc,-3.6662902355194094,EleutherAI_pythia-6.9b-deduped
18,situational inference,arc,-4.007936477661133,EleutherAI_pythia-6.9b-deduped
18,situational inference,mc,-3.8748722076416016,EleutherAI_pythia-6.9b-deduped
19,event association,arc,-3.8005015373229982,EleutherAI_pythia-6.9b-deduped
19,event association,mc,-3.737781047821045,EleutherAI_pythia-6.9b-deduped
19,lexical overlap,arc,-3.703546953201294,EleutherAI_pythia-6.9b-deduped
19,lexical overlap,mc,-3.5361361503601074,EleutherAI_pythia-6.9b-deduped
19,situational inference,arc,-3.5833913326263427,EleutherAI_pythia-6.9b-deduped
19,situational inference,mc,-3.826958179473877,EleutherAI_pythia-6.9b-deduped
20,event association,arc,-3.7024792194366456,EleutherAI_pythia-6.9b-deduped
20,event association,mc,-3.554622173309326,EleutherAI_pythia-6.9b-deduped
20,lexical overlap,arc,-3.753625249862671,EleutherAI_pythia-6.9b-deduped
20,lexical overlap,mc,-3.533682870864868,EleutherAI_pythia-6.9b-deduped
20,situational inference,arc,-3.634448194503784,EleutherAI_pythia-6.9b-deduped
20,situational inference,mc,-3.490626001358032,EleutherAI_pythia-6.9b-deduped
21,event association,arc,-3.4543020248413088,EleutherAI_pythia-6.9b-deduped
21,event association,mc,-3.743867015838623,EleutherAI_pythia-6.9b-deduped
21,lexical overlap,arc,-3.6715484142303465,EleutherAI_pythia-6.9b-deduped
21,lexical overlap,mc,-3.417032814025879,EleutherAI_pythia-6.9b-deduped
21,situational inference,arc,-3.7007386684417725,EleutherAI_pythia-6.9b-deduped
21,situational inference,mc,-3.779228401184082,EleutherAI_pythia-6.9b-deduped
22,event association,arc,-4.2097025394439695,EleutherAI_pythia-6.9b-deduped
22,event association,mc,-4.127675867080688,EleutherAI_pythia-6.9b-deduped
22,lexical overlap,arc,-4.043359327316284,EleutherAI_pythia-6.9b-deduped
22,lexical overlap,mc,-3.963219690322876,EleutherAI_pythia-6.9b-deduped
22,situational inference,arc,-4.225992488861084,EleutherAI_pythia-6.9b-deduped
22,situational inference,mc,-4.015527629852295,EleutherAI_pythia-6.9b-deduped
23,event association,arc,-3.445984888076782,EleutherAI_pythia-6.9b-deduped
23,event association,mc,-3.415012311935425,EleutherAI_pythia-6.9b-deduped
23,lexical overlap,arc,-3.323992681503296,EleutherAI_pythia-6.9b-deduped
23,lexical overlap,mc,-3.4324806213378904,EleutherAI_pythia-6.9b-deduped
23,situational inference,arc,-3.427782583236694,EleutherAI_pythia-6.9b-deduped
23,situational inference,mc,-3.4829261779785154,EleutherAI_pythia-6.9b-deduped
24,event association,arc,-4.014595556259155,EleutherAI_pythia-6.9b-deduped
24,event association,mc,-4.135916614532471,EleutherAI_pythia-6.9b-deduped
24,lexical overlap,arc,-3.964591455459595,EleutherAI_pythia-6.9b-deduped
24,lexical overlap,mc,-3.9968685150146483,EleutherAI_pythia-6.9b-deduped
24,situational inference,arc,-3.983629751205444,EleutherAI_pythia-6.9b-deduped
24,situational inference,mc,-4.152867126464844,EleutherAI_pythia-6.9b-deduped
25,event association,arc,-3.8889931201934815,EleutherAI_pythia-6.9b-deduped
25,event association,mc,-3.816186714172363,EleutherAI_pythia-6.9b-deduped
25,lexical overlap,arc,-3.8557841300964357,EleutherAI_pythia-6.9b-deduped
25,lexical overlap,mc,-3.8281729221343994,EleutherAI_pythia-6.9b-deduped
25,situational inference,arc,-3.738246726989746,EleutherAI_pythia-6.9b-deduped
25,situational inference,mc,-3.886894416809082,EleutherAI_pythia-6.9b-deduped
26,event association,arc,-3.8465206146240236,EleutherAI_pythia-6.9b-deduped
26,event association,mc,-3.7475685596466066,EleutherAI_pythia-6.9b-deduped
26,lexical overlap,arc,-3.804932641983032,EleutherAI_pythia-6.9b-deduped
26,lexical overlap,mc,-3.643413209915161,EleutherAI_pythia-6.9b-deduped
26,situational inference,arc,-3.8049307346343992,EleutherAI_pythia-6.9b-deduped
26,situational inference,mc,-3.697976064682007,EleutherAI_pythia-6.9b-deduped
27,event association,arc,-3.6268013954162597,EleutherAI_pythia-6.9b-deduped
27,event association,mc,-3.4848987102508544,EleutherAI_pythia-6.9b-deduped
27,lexical overlap,arc,-3.4912928104400636,EleutherAI_pythia-6.9b-deduped
27,lexical overlap,mc,-3.4030926704406737,EleutherAI_pythia-6.9b-deduped
27,situational inference,arc,-3.632913112640381,EleutherAI_pythia-6.9b-deduped
27,situational inference,mc,-3.7417142391204834,EleutherAI_pythia-6.9b-deduped
