idx,cont_type,cont_target,avg_logprob,model_name
13,lexical overlap,arc,-3.345284843444824,EleutherAI_pythia-160m-deduped
13,lexical overlap,mc,-3.819447660446167,EleutherAI_pythia-160m-deduped
13,situational inference,arc,-3.7384682655334474,EleutherAI_pythia-160m-deduped
13,situational inference,mc,-3.630981969833374,EleutherAI_pythia-160m-deduped
14,event association,arc,-3.5833519458770753,EleutherAI_pythia-160m-deduped
14,event association,mc,-3.9459789276123045,EleutherAI_pythia-160m-deduped
14,lexical overlap,arc,-3.5983498096466064,EleutherAI_pythia-160m-deduped
14,lexical overlap,mc,-3.7424571037292482,EleutherAI_pythia-160m-deduped
14,situational inference,arc,-3.7909477233886717,EleutherAI_pythia-160m-deduped
14,situational inference,mc,-3.9611330032348633,EleutherAI_pythia-160m-deduped
15,event association,arc,-4.069574451446533,EleutherAI_pythia-160m-deduped
15,event association,mc,-4.402372169494629,EleutherAI_pythia-160m-deduped
15,lexical overlap,arc,-4.10672550201416,EleutherAI_pythia-160m-deduped
15,lexical overlap,mc,-4.185886287689209,EleutherAI_pythia-160m-deduped
15,situational inference,arc,-4.22658863067627,EleutherAI_pythia-160m-deduped
15,situational inference,mc,-4.103543329238891,EleutherAI_pythia-160m-deduped
16,event association,arc,-3.9449376106262206,EleutherAI_pythia-160m-deduped
16,event association,mc,-3.821036767959595,EleutherAI_pythia-160m-deduped
16,lexical overlap,arc,-4.073033952713013,EleutherAI_pythia-160m-deduped
16,lexical overlap,mc,-3.8496001243591307,EleutherAI_pythia-160m-deduped
16,situational inference,arc,-3.962063360214233,EleutherAI_pythia-160m-deduped
16,situational inference,mc,-3.866640567779541,EleutherAI_pythia-160m-deduped
17,event association,arc,-4.477012729644775,EleutherAI_pythia-160m-deduped
17,event association,mc,-4.530389308929443,EleutherAI_pythia-160m-deduped
17,lexical overlap,arc,-4.19756760597229,EleutherAI_pythia-160m-deduped
17,lexical overlap,mc,-4.219985914230347,EleutherAI_pythia-160m-deduped
17,situational inference,arc,-4.381398773193359,EleutherAI_pythia-160m-deduped
17,situational inference,mc,-4.503094959259033,EleutherAI_pythia-160m-deduped
18,event association,arc,-4.146517562866211,EleutherAI_pythia-160m-deduped
18,event association,mc,-3.9065748691558837,EleutherAI_pythia-160m-deduped
18,lexical overlap,arc,-3.8910814762115478,EleutherAI_pythia-160m-deduped
18,lexical overlap,mc,-3.7506868839263916,EleutherAI_pythia-160m-deduped
18,situational inference,arc,-4.183536767959595,EleutherAI_pythia-160m-deduped
18,situational inference,mc,-4.016341257095337,EleutherAI_pythia-160m-deduped
19,event association,arc,-4.232615852355957,EleutherAI_pythia-160m-deduped
19,event association,mc,-4.0829033851623535,EleutherAI_pythia-160m-deduped
19,lexical overlap,arc,-4.03812804222107,EleutherAI_pythia-160m-deduped
19,lexical overlap,mc,-3.8867000102996827,EleutherAI_pythia-160m-deduped
19,situational inference,arc,-3.8482990741729735,EleutherAI_pythia-160m-deduped
19,situational inference,mc,-4.2069672584533695,EleutherAI_pythia-160m-deduped
20,event association,arc,-3.847293567657471,EleutherAI_pythia-160m-deduped
20,event association,mc,-3.8824203968048097,EleutherAI_pythia-160m-deduped
20,lexical overlap,arc,-3.920991563796997,EleutherAI_pythia-160m-deduped
20,lexical overlap,mc,-3.8155402660369875,EleutherAI_pythia-160m-deduped
20,situational inference,arc,-3.861837291717529,EleutherAI_pythia-160m-deduped
20,situational inference,mc,-3.7807851314544676,EleutherAI_pythia-160m-deduped
21,event association,arc,-4.082211351394653,EleutherAI_pythia-160m-deduped
21,event association,mc,-4.235623931884765,EleutherAI_pythia-160m-deduped
21,lexical overlap,arc,-4.19940218925476,EleutherAI_pythia-160m-deduped
21,lexical overlap,mc,-3.9204821586608887,EleutherAI_pythia-160m-deduped
21,situational inference,arc,-4.223102140426636,EleutherAI_pythia-160m-deduped
21,situational inference,mc,-4.332340812683105,EleutherAI_pythia-160m-deduped
22,event association,arc,-4.310802364349366,EleutherAI_pythia-160m-deduped
22,event association,mc,-4.49036750793457,EleutherAI_pythia-160m-deduped
22,lexical overlap,arc,-4.299646282196045,EleutherAI_pythia-160m-deduped
22,lexical overlap,mc,-4.142820262908936,EleutherAI_pythia-160m-deduped
22,situational inference,arc,-4.537826824188232,EleutherAI_pythia-160m-deduped
22,situational inference,mc,-4.290642166137696,EleutherAI_pythia-160m-deduped
23,event association,arc,-3.7801796913146974,EleutherAI_pythia-160m-deduped
23,event association,mc,-3.898620939254761,EleutherAI_pythia-160m-deduped
23,lexical overlap,arc,-3.611406421661377,EleutherAI_pythia-160m-deduped
23,lexical overlap,mc,-3.79998140335083,EleutherAI_pythia-160m-deduped
23,situational inference,arc,-3.7544224739074705,EleutherAI_pythia-160m-deduped
23,situational inference,mc,-3.941146898269653,EleutherAI_pythia-160m-deduped
24,event association,arc,-4.243398284912109,EleutherAI_pythia-160m-deduped
24,event association,mc,-4.286395740509033,EleutherAI_pythia-160m-deduped
24,lexical overlap,arc,-4.152080965042114,EleutherAI_pythia-160m-deduped
24,lexical overlap,mc,-4.196330261230469,EleutherAI_pythia-160m-deduped
24,situational inference,arc,-4.1977252006530765,EleutherAI_pythia-160m-deduped
24,situational inference,mc,-4.239956665039062,EleutherAI_pythia-160m-deduped
25,event association,arc,-4.172661685943604,EleutherAI_pythia-160m-deduped
25,event association,mc,-4.135747766494751,EleutherAI_pythia-160m-deduped
25,lexical overlap,arc,-4.15251407623291,EleutherAI_pythia-160m-deduped
25,lexical overlap,mc,-4.121106767654419,EleutherAI_pythia-160m-deduped
25,situational inference,arc,-4.016288805007934,EleutherAI_pythia-160m-deduped
25,situational inference,mc,-4.1769664764404295,EleutherAI_pythia-160m-deduped
26,event association,arc,-4.177427816390991,EleutherAI_pythia-160m-deduped
26,event association,mc,-3.981722021102905,EleutherAI_pythia-160m-deduped
26,lexical overlap,arc,-4.28829517364502,EleutherAI_pythia-160m-deduped
26,lexical overlap,mc,-3.948229694366455,EleutherAI_pythia-160m-deduped
26,situational inference,arc,-4.242625522613525,EleutherAI_pythia-160m-deduped
26,situational inference,mc,-4.116286277770996,EleutherAI_pythia-160m-deduped
27,event association,arc,-3.879441165924072,EleutherAI_pythia-160m-deduped
27,event association,mc,-3.7023386478424074,EleutherAI_pythia-160m-deduped
27,lexical overlap,arc,-3.722970151901245,EleutherAI_pythia-160m-deduped
27,lexical overlap,mc,-3.665297794342041,EleutherAI_pythia-160m-deduped
27,situational inference,arc,-3.8223740577697756,EleutherAI_pythia-160m-deduped
27,situational inference,mc,-4.075828695297242,EleutherAI_pythia-160m-deduped
28,event association,arc,-3.7374360084533693,EleutherAI_pythia-160m-deduped
28,event association,mc,-3.7259863376617433,EleutherAI_pythia-160m-deduped
28,lexical overlap,arc,-3.668308448791504,EleutherAI_pythia-160m-deduped
28,lexical overlap,mc,-3.493285894393921,EleutherAI_pythia-160m-deduped
28,situational inference,arc,-3.7513732433319094,EleutherAI_pythia-160m-deduped
28,situational inference,mc,-3.8045420169830324,EleutherAI_pythia-160m-deduped
29,event association,arc,-4.011417484283447,EleutherAI_pythia-160m-deduped
29,event association,mc,-4.060414505004883,EleutherAI_pythia-160m-deduped
29,lexical overlap,arc,-3.8598959922790526,EleutherAI_pythia-160m-deduped
29,lexical overlap,mc,-3.527527332305908,EleutherAI_pythia-160m-deduped
29,situational inference,arc,-3.989207458496094,EleutherAI_pythia-160m-deduped
29,situational inference,mc,-3.955081081390381,EleutherAI_pythia-160m-deduped
30,event association,arc,-4.4291411399841305,EleutherAI_pythia-160m-deduped
30,event association,mc,-4.612779998779297,EleutherAI_pythia-160m-deduped
30,lexical overlap,arc,-4.494638156890869,EleutherAI_pythia-160m-deduped
30,lexical overlap,mc,-4.407542419433594,EleutherAI_pythia-160m-deduped
30,situational inference,arc,-4.803207015991211,EleutherAI_pythia-160m-deduped
30,situational inference,mc,-4.668352127075195,EleutherAI_pythia-160m-deduped
