idx,no_prefix_c1,no_prefix_c2,wait_prefix_c1,wait_prefix_c2,no_control,wait_control
1,-4.118494033813477,-4.629786491394043,-3.947127342224121,-4.494831085205078,-4.465086936950684,-4.1182332038879395
2,-4.566861629486084,-4.098392486572266,-4.612569332122803,-4.025720596313477,-4.248429775238037,-4.122134685516357
3,-4.118494033813477,-4.629786491394043,-3.2197136878967285,-3.923273801803589,-4.465086936950684,-5.415505409240723
4,-4.566861629486084,-4.098392486572266,-3.886763095855713,-3.424985408782959,-4.248429775238037,-5.411588191986084
5,-4.118494033813477,-4.629786491394043,-2.988163709640503,-3.710045099258423,-4.465086936950684,-5.618994235992432
6,-4.566861629486084,-4.098392486572266,-3.624577045440674,-3.0249862670898438,-4.248429775238037,-5.464043617248535
7,-4.118494033813477,-4.629786491394043,-2.6388025283813477,-3.4067959785461426,-4.465086936950684,-5.331008434295654
8,-4.566861629486084,-4.098392486572266,-3.4565842151641846,-2.9175519943237305,-4.248429775238037,-5.336910247802734
9,-3.0557265281677246,-3.7995357513427734,-3.947127342224121,-4.494831085205078,-6.1902642250061035,-4.1182332038879395
10,-4.002704620361328,-3.201566219329834,-4.612569332122803,-4.025720596313477,-5.697107791900635,-4.122134685516357
11,-3.0557265281677246,-3.7995357513427734,-3.2197136878967285,-3.923273801803589,-6.1902642250061035,-5.415505409240723
12,-4.002704620361328,-3.201566219329834,-3.886763095855713,-3.424985408782959,-5.697107791900635,-5.411588191986084
13,-3.0557265281677246,-3.7995357513427734,-2.988163709640503,-3.710045099258423,-6.1902642250061035,-5.618994235992432
14,-4.002704620361328,-3.201566219329834,-3.624577045440674,-3.0249862670898438,-5.697107791900635,-5.464043617248535
15,-3.0557265281677246,-3.7995357513427734,-2.6388025283813477,-3.4067959785461426,-6.1902642250061035,-5.331008434295654
16,-4.002704620361328,-3.201566219329834,-3.4565842151641846,-2.9175519943237305,-5.697107791900635,-5.336910247802734
17,-3.255615711212158,-3.815281867980957,-3.947127342224121,-4.494831085205078,-6.192727565765381,-4.1182332038879395
18,-3.905271291732788,-3.3238444328308105,-4.612569332122803,-4.025720596313477,-5.740869998931885,-4.122134685516357
19,-3.255615711212158,-3.815281867980957,-3.2197136878967285,-3.923273801803589,-6.192727565765381,-5.415505409240723
20,-3.905271291732788,-3.3238444328308105,-3.886763095855713,-3.424985408782959,-5.740869998931885,-5.411588191986084
21,-3.255615711212158,-3.815281867980957,-2.988163709640503,-3.710045099258423,-6.192727565765381,-5.618994235992432
22,-3.905271291732788,-3.3238444328308105,-3.624577045440674,-3.0249862670898438,-5.740869998931885,-5.464043617248535
23,-3.255615711212158,-3.815281867980957,-2.6388025283813477,-3.4067959785461426,-6.192727565765381,-5.331008434295654
24,-3.905271291732788,-3.3238444328308105,-3.4565842151641846,-2.9175519943237305,-5.740869998931885,-5.336910247802734
25,-3.068178653717041,-3.8925585746765137,-3.947127342224121,-4.494831085205078,-6.142670631408691,-4.1182332038879395
26,-3.8805642127990723,-3.219618082046509,-4.612569332122803,-4.025720596313477,-5.562392711639404,-4.122134685516357
27,-3.068178653717041,-3.8925585746765137,-3.2197136878967285,-3.923273801803589,-6.142670631408691,-5.415505409240723
28,-3.8805642127990723,-3.219618082046509,-3.886763095855713,-3.424985408782959,-5.562392711639404,-5.411588191986084
29,-3.068178653717041,-3.8925585746765137,-2.988163709640503,-3.710045099258423,-6.142670631408691,-5.618994235992432
30,-3.8805642127990723,-3.219618082046509,-3.624577045440674,-3.0249862670898438,-5.562392711639404,-5.464043617248535
31,-3.068178653717041,-3.8925585746765137,-2.6388025283813477,-3.4067959785461426,-6.142670631408691,-5.331008434295654
32,-3.8805642127990723,-3.219618082046509,-3.4565842151641846,-2.9175519943237305,-5.562392711639404,-5.336910247802734
33,-3.7846102714538574,-4.400197982788086,-4.013000965118408,-4.6029510498046875,-4.59598970413208,-4.459481239318848
34,-4.1804728507995605,-4.017588138580322,-4.390015125274658,-4.173613548278809,-4.660541534423828,-4.615824222564697
35,-3.7846102714538574,-4.400197982788086,-3.572039842605591,-4.0234832763671875,-4.59598970413208,-5.834485054016113
36,-4.1804728507995605,-4.017588138580322,-3.750870704650879,-3.5622074604034424,-4.660541534423828,-5.922204494476318
37,-3.7846102714538574,-4.400197982788086,-3.3425326347351074,-3.7450623512268066,-4.59598970413208,-5.596830368041992
38,-4.1804728507995605,-4.017588138580322,-3.2032079696655273,-3.135927677154541,-4.660541534423828,-5.649295330047607
39,-3.7846102714538574,-4.400197982788086,-3.2027666568756104,-3.6234731674194336,-4.59598970413208,-5.653881072998047
40,-4.1804728507995605,-4.017588138580322,-3.2148661613464355,-3.0437541007995605,-4.660541534423828,-5.596536159515381
41,-3.486769676208496,-3.7738990783691406,-4.013000965118408,-4.6029510498046875,-5.909012317657471,-4.459481239318848
42,-3.3972299098968506,-3.428333282470703,-4.390015125274658,-4.173613548278809,-6.161444187164307,-4.615824222564697
43,-3.486769676208496,-3.7738990783691406,-3.572039842605591,-4.0234832763671875,-5.909012317657471,-5.834485054016113
44,-3.3972299098968506,-3.428333282470703,-3.750870704650879,-3.5622074604034424,-6.161444187164307,-5.922204494476318
45,-3.486769676208496,-3.7738990783691406,-3.3425326347351074,-3.7450623512268066,-5.909012317657471,-5.596830368041992
46,-3.3972299098968506,-3.428333282470703,-3.2032079696655273,-3.135927677154541,-6.161444187164307,-5.649295330047607
47,-3.486769676208496,-3.7738990783691406,-3.2027666568756104,-3.6234731674194336,-5.909012317657471,-5.653881072998047
48,-3.3972299098968506,-3.428333282470703,-3.2148661613464355,-3.0437541007995605,-6.161444187164307,-5.596536159515381
49,-4.259337902069092,-4.67282247543335,-4.013000965118408,-4.6029510498046875,-5.846019268035889,-4.459481239318848
50,-3.8402459621429443,-3.672456979751587,-4.390015125274658,-4.173613548278809,-6.09321928024292,-4.615824222564697
